property_type,price,size,location,rooms,floor,title,seller_type,size_num,price_per_m2
1-комнатная квартира,28000000,40 м²,"Ауэзовский р-н, мкр Аксай-3А 47",1,3/5,1-комнатная квартира · 40 м² · 3/5 этаж,Other,40.0,700000.0
1-комнатная квартира,19500000,38 м²,Расковой 17/1,1,2/4,1-комнатная квартира · 38 м² · 2/4 этаж,Other,38.0,513157.8947368421
4-комнатная квартира,73000000,130 м²,"мкр. Алтын орда, Алия Молдагулова 62 корп 1 — Пр.А.Молдвгулова-Мангилик Ел",4,4/9,4-комнатная квартира · 130 м² · 4/9 этаж,Other,130.0,561538.4615384615
1-комнатная квартира,26000000,36 м²,"Есильский р-н, Култегин 11/1",1,10/10,1-комнатная квартира · 36 м² · 10/10 этаж,Other,36.0,722222.2222222222
3-комнатная квартира,29999999,72.3 м²,"Казыбек би р-н, мкр Юго-Восток, Строителей 11/1 — К/т Сары-Арка",3,7/10,3-комнатная квартира · 72.3 м² · 7/10 этаж,Other,72.3,414937.745504841
1-комнатная квартира,16000000,48 м²,31Б мкр 8,1,6/11,1-комнатная квартира · 48 м² · 6/11 этаж,Other,48.0,333333.3333333333
2-комнатная квартира,27999000,41 м²,"Нура р-н, Е-36 11",2,15/18,2-комнатная квартира · 41 м² · 15/18 этаж,Other,41.0,682902.4390243902
4-комнатная квартира,26000000,80 м²,"Казыбек би р-н, мкр Юго-Восток, 29й микрорайон 29 — Гапеева 29",4,8/9,4-комнатная квартира · 80 м² · 8/9 этаж,Other,80.0,325000.0
2-комнатная квартира,15000000,49 м²,"Абайский р-н, мкр Турлан іңкәрдәрия 13 68кв — Мектеп магазин бала бақша поликлиника",2,5/5,2-комнатная квартира · 49 м² · 5/5 этаж,Other,49.0,306122.44897959183
3-комнатная квартира,15000000,73 м²,Жаппасбай батыр 70Р,3,4,3-комнатная квартира · 73 м² · 4 этаж,Other,73.0,205479.45205479453
2-комнатная квартира,29499000,40 м²,"Нура р-н, Е-36 4 — БЛОК Е",2,5/18,2-комнатная квартира · 40 м² · 5/18 этаж,Other,40.0,737475.0
2-комнатная квартира,12500000,45.2 м²,Гагарина 18 — Район Акимата,2,2/4,2-комнатная квартира · 45.2 м² · 2/4 этаж,Other,45.2,276548.6725663717
3-комнатная квартира,24500000,60.2 м²,Братьев Жубановых,3,6/10,3-комнатная квартира · 60.2 м² · 6/10 этаж,Other,60.2,406976.7441860465
3-комнатная квартира,115000000,105 м²,"Бостандыкский р-н, Сатпаева 82",3,9/16,3-комнатная квартира · 105 м² · 9/16 этаж,Other,105.0,1095238.0952380951
4-комнатная квартира,29000000,74.5 м²,"Туран р-н, Верх Отрар, 42/1 — Ул Байтерекова, Магнум",4,5/5,4-комнатная квартира · 74.5 м² · 5/5 этаж,Other,74.5,389261.74496644293
3-комнатная квартира,63500000,80 м²,"Медеуский р-н, мкр Думан-2, Мкрн Думан-2 63",3,4/9,3-комнатная квартира · 80 м² · 4/9 этаж,Other,80.0,793750.0
2-комнатная квартира,35555555,55 м²,"Есильский р-н, Кабанбай батыра 11",2,8/15,2-комнатная квартира · 55 м² · 8/15 этаж,Other,55.0,646464.6363636364
2-комнатная квартира,21200000,67 м²,САТПАЕВА 15 — УТЕПОВА,2,4/6,2-комнатная квартира · 67 м² · 4/6 этаж,Other,67.0,316417.9104477612
2-комнатная квартира,44500000,83.4 м²,микрорайон Береке 142/1,2,7/8,2-комнатная квартира · 83.4 м² · 7/8 этаж,Other,83.4,533573.1414868105
1-комнатная квартира,16000000,40 м²,"Сарыарка р-н, Тлендиева 44а",1,1/15,1-комнатная квартира · 40 м² · 1/15 этаж,Other,40.0,400000.0
2-комнатная квартира,18300000,56 м²,14-й мкр 20,2,2/5,2-комнатная квартира · 56 м² · 2/5 этаж,Other,56.0,326785.71428571426
1-комнатная квартира,29500000,40 м²,"Есильский р-н, Бухар жырау, 29​ — Мангилик Ел, Аль Фараби, Бухар Жырау",1,10/12,1-комнатная квартира · 40 м² · 10/12 этаж,Other,40.0,737500.0
1-комнатная квартира,19000000,42 м²,Абылай хан 1Г,1,2/9,1-комнатная квартира · 42 м² · 2/9 этаж,Other,42.0,452380.95238095237
1-комнатная квартира,12300000,15 м²,"Ауэзовский р-н, мкр №7 4 — Абая-Алтынсарина",1,4/4,1-комнатная квартира · 15 м² · 4/4 этаж,Other,15.0,820000.0
3-комнатная квартира,44900000,71.6 м²,"Есильский р-н, Бухар Жырау 25/1 — Бокейхана",3,3/9,3-комнатная квартира · 71.6 м² · 3/9 этаж,Other,71.6,627094.9720670391
3-комнатная квартира,315000000,140 м²,"Бостандыкский р-н, Микрорайон Мирас 115",3,1/3,3-комнатная квартира · 140 м² · 1/3 этаж,Other,140.0,2250000.0
3-комнатная квартира,40000000,94 м²,Садовая 100е — Между улицей Садовая и Центральной (АБВГДейка),3,4/6,3-комнатная квартира · 94 м² · 4/6 этаж,Other,94.0,425531.91489361704
1-комнатная квартира,27000000,39.2 м²,"Наурызбайский р-н, Райымбека",1,7/9,1-комнатная квартира · 39.2 м² · 7/9 этаж,Other,39.2,688775.5102040815
1-комнатная квартира,16000000,33 м²,"р-н Байконур, Отрар 3 — Абая- республика- кенесары",1,4/5,1-комнатная квартира · 33 м² · 4/5 этаж,Other,33.0,484848.48484848486
3-комнатная квартира,36000000,88 м²,11 18/1,3,2/7,3-комнатная квартира · 88 м² · 2/7 этаж,Other,88.0,409090.9090909091
3-комнатная квартира,42500000,62.5 м²,"Бостандыкский р-н, мкр Орбита-4 3 — В центре Орбиты Бостандыкский район",3,4/5,3-комнатная квартира · 62.5 м² · 4/5 этаж,Other,62.5,680000.0
2-комнатная квартира,19500000,53.7 м²,"Ульбинский, Пр. Абая 17",2,4/6,2-комнатная квартира · 53.7 м² · 4/6 этаж,Other,53.7,363128.4916201117
1-комнатная квартира,21000000,40 м²,"Алматы р-н, Манаса 22/2 — Пр Кудайбердыулы",1,6/10,1-комнатная квартира · 40 м² · 6/10 этаж,Other,40.0,525000.0
4-комнатная квартира,120000000,166 м²,"Есильский р-н, Туркестан 14/1",4,3/6,4-комнатная квартира · 166 м² · 3/6 этаж,Other,166.0,722891.5662650602
2-комнатная квартира,9900000,45 м²,5 микрорайон 10,2,1/5,2-комнатная квартира · 45 м² · 1/5 этаж,Other,45.0,220000.0
2-комнатная квартира,5500000,54 м²,Улица Жамбыла Жабаева 134 б,2,1/5,2-комнатная квартира · 54 м² · 1/5 этаж,Other,54.0,101851.85185185185
2-комнатная квартира,17300000,57.1 м²,7-й мкр 1,2,4/5,2-комнатная квартира · 57.1 м² · 4/5 этаж,Other,57.1,302977.2329246935
3-комнатная квартира,66000000,75 м²,"Алмалинский р-н, мкр Тастак-3, Розыбакиева 45 — Дуйсенова",3,8/8,3-комнатная квартира · 75 м² · 8/8 этаж,Other,75.0,880000.0
2-комнатная квартира,28800000,65.3 м²,"Казыбек би р-н, мкр Юго-Восток, Мкр Степной 2 9/3",2,4/10,2-комнатная квартира · 65.3 м² · 4/10 этаж,Other,65.3,441041.34762634
4-комнатная квартира,75000000,120 м²,"мкр Сары Арка, Айтеке би 30А",4,2/9,4-комнатная квартира · 120 м² · 2/9 этаж,Other,120.0,625000.0
3-комнатная квартира,99999999,103 м²,"Есильский р-н, Сарайшык 6",3,8/9,3-комнатная квартира · 103 м² · 8/9 этаж,Other,103.0,970873.7766990291
3-комнатная квартира,43000000,107.8 м²,"29-й мкр 24 — Напротив гостинницы Нур-Плаза, Аккала молл",3,10/11,3-комнатная квартира · 107.8 м² · 10/11 этаж,Other,107.8,398886.82745825604
2-комнатная квартира,19500000,53.4 м²,Ворошилова 1А,2,4/5,2-комнатная квартира · 53.4 м² · 4/5 этаж,Other,53.4,365168.5393258427
2-комнатная квартира,22000000,60 м²,Отырар 10,2,1/2,2-комнатная квартира · 60 м² · 1/2 этаж,Other,60.0,366666.6666666667
3-комнатная квартира,38000000,71 м²,"р-н Байконур, Иманова 41",3,9/10,3-комнатная квартира · 71 м² · 9/10 этаж,Other,71.0,535211.2676056338
1-комнатная квартира,28000000,71 м²,"Наурызбайский р-н, мкр Шугыла, Жуалы",1,9/16,1-комнатная квартира · 71 м² · 9/16 этаж,Other,71.0,394366.1971830986
3-комнатная квартира,23200000,53.4 м²,Бурова 10,3,8/9,3-комнатная квартира · 53.4 м² · 8/9 этаж,Other,53.4,434456.92883895134
3-комнатная квартира,42000000,132 м²,40-й мкр 2,3,9/10,3-комнатная квартира · 132 м² · 9/10 этаж,Other,132.0,318181.8181818182
4-комнатная квартира,35000000,152 м²,"18-й мкр , 18 7",4,11/11,4-комнатная квартира · 152 м² · 11/11 этаж,Other,152.0,230263.15789473685
3-комнатная квартира,21000000,67 м²,мкр Астана 35 — Возле сада Шуғыла.,3,1/5,3-комнатная квартира · 67 м² · 1/5 этаж,Other,67.0,313432.8358208955
4-комнатная квартира,61000000,119 м²,"Есильский р-н, Алихана Бокейхана 6",4,5/9,4-комнатная квартира · 119 м² · 5/9 этаж,Other,119.0,512605.0420168067
3-комнатная квартира,13000000,65.5 м²,Дружба 24,3,5/5,3-комнатная квартира · 65.5 м² · 5/5 этаж,Other,65.5,198473.28244274808
3-комнатная квартира,42000000,130 м²,40-й мкр 2,3,10/10,3-комнатная квартира · 130 м² · 10/10 этаж,Other,130.0,323076.92307692306
