property_type,price,size,location,rooms,floor,title,seller_type
3-комнатная квартира,99999999 ₸,103 м²,"Есильский р-н, Сарайшык 6",3,8/9,3-комнатная квартира · 103 м² · 8/9 этаж,Other
3-комнатная квартира,43000000 ₸,107.8 м²,"29-й мкр 24 — Напротив гостинницы Нур-Плаза, Аккала молл",3,10/11,3-комнатная квартира · 107.8 м² · 10/11 этаж,Other
2-комнатная квартира,19500000 ₸,53.4 м²,Ворошилова 1А,2,4/5,2-комнатная квартира · 53.4 м² · 4/5 этаж,Other
2-комнатная квартира,22000000 ₸,60 м²,Отырар 10,2,1/2,2-комнатная квартира · 60 м² · 1/2 этаж,Other
3-комнатная квартира,38000000 ₸,71 м²,"р-н Байконур, Иманова 41",3,9/10,3-комнатная квартира · 71 м² · 9/10 этаж,Other
1-комнатная квартира,28000000 ₸,71 м²,"Наурызбайский р-н, мкр Шугыла, Жуалы",1,9/16,1-комнатная квартира · 71 м² · 9/16 этаж,Other
3-комнатная квартира,23200000 ₸,53.4 м²,Бурова 10,3,8/9,3-комнатная квартира · 53.4 м² · 8/9 этаж,Other
3-комнатная квартира,42000000 ₸,132 м²,40-й мкр 2,3,9/10,3-комнатная квартира · 132 м² · 9/10 этаж,Other
4-комнатная квартира,35000000 ₸,152 м²,"18-й мкр , 18 7",4,11/11,4-комнатная квартира · 152 м² · 11/11 этаж,Other
3-комнатная квартира,21000000 ₸,67 м²,мкр Астана 35 — Возле сада Шуғыла.,3,1/5,3-комнатная квартира · 67 м² · 1/5 этаж,Other
4-комнатная квартира,61000000 ₸,119 м²,"Есильский р-н, Алихана Бокейхана 6",4,5/9,4-комнатная квартира · 119 м² · 5/9 этаж,Other
3-комнатная квартира,13000000 ₸,65.5 м²,Дружба 24,3,5/5,3-комнатная квартира · 65.5 м² · 5/5 этаж,Other
3-комнатная квартира,42000000 ₸,130 м²,40-й мкр 2,3,10/10,3-комнатная квартира · 130 м² · 10/10 этаж,Other
2-комнатная квартира,30000000 ₸,68.5 м²,"Нура р-н, Коргалжынское шоссе 27а — Айтматова, Коргалжинское шоссе",2,11/11,2-комнатная квартира · 68.5 м² · 11/11 этаж,Other
2-комнатная квартира,45000000 ₸,50 м²,"Наурызбайский р-н, мкр Каргалы, Кенесары хана 54",2,4/10,2-комнатная квартира · 50 м² · 4/10 этаж,Other
3-комнатная квартира,18500000 ₸,92 м²,39-й мкр 8,3,5/6,3-комнатная квартира · 92 м² · 5/6 этаж,Other
4-комнатная квартира,50000000 ₸,150 м²,17-й мкр 29,4,6/9,4-комнатная квартира · 150 м² · 6/9 этаж,Other
2-комнатная квартира,16000000 ₸,74 м²,41-й мкр 15,2,6/7,2-комнатная квартира · 74 м² · 6/7 этаж,Other
2-комнатная квартира,22000000 ₸,50.6 м²,"Казыбек би р-н, мкр Юго-Восток, сатыбалдина 7",2,7/9,2-комнатная квартира · 50.6 м² · 7/9 этаж,Other
2-комнатная квартира,30900000 ₸,55 м²,"Нура р-н, Култегин 11 — Сыганак",2,1/10,2-комнатная квартира · 55 м² · 1/10 этаж,Other
4-комнатная квартира,162000000 ₸,143.3 м²,"Бостандыкский р-н, Абиша Кекилбайулы — Розыбакиева/Левитана",4,24/25,4-комнатная квартира · 143.3 м² · 24/25 этаж,Other
1-комнатная квартира,14000000 ₸,31 м²,"Сарыарка р-н, Кутпанова 4",1,2/5,1-комнатная квартира · 31 м² · 2/5 этаж,Other
1-комнатная квартира,11482800 ₸,41.01 м²,Сарыарка 14а,1,2/5,1-комнатная квартира · 41.01 м² · 2/5 этаж,Other
3-комнатная квартира,46000000 ₸,96 м²,"мкр Нурсая, Абылхаир хана — Продаётся 3 ком квартира. Черновой вариант. 96 квадрат метра",3,8/9,3-комнатная квартира · 96 м² · 8/9 этаж,Other
2-комнатная квартира,14000000 ₸,48.8 м²,"мкр. Зачаганск пгт, Жангир хана 71 — Жангир хана",2,1/4,2-комнатная квартира · 48.8 м² · 1/4 этаж,Other
3-комнатная квартира,35000000 ₸,60.3 м²,"Ауэзовский р-н, мкр №8 80",3,1/4,3-комнатная квартира · 60.3 м² · 1/4 этаж,Other
3-комнатная квартира,65000000 ₸,78.1 м²,"Есильский р-н, Достык 8 — Керуен",3,10/18,3-комнатная квартира · 78.1 м² · 10/18 этаж,Other
4-комнатная квартира,33000000 ₸,82 м²,"Азаттык 5б — Возле набережной, рядом центральный ФОК",4,4/5,4-комнатная квартира · 82 м² · 4/5 этаж,Other
2-комнатная квартира,51000000 ₸,57.9 м²,"Бостандыкский р-н, мкр Нур Алатау — Кирпичный дом, улучшенная планировка",2,2/5,2-комнатная квартира · 57.9 м² · 2/5 этаж,Realtor
3-комнатная квартира,39649500 ₸,88.11 м²,Сабатаева 77А — Байкена Ашимова,3,1/9,3-комнатная квартира · 88.11 м² · 1/9 этаж,Other
2-комнатная квартира,28490000 ₸,70 м²,"р-н Байконур, Иманова — ГОРЯЧАЯ ЦЕНА",2,5/10,2-комнатная квартира · 70 м² · 5/10 этаж,Other
1-комнатная квартира,16800000 ₸,32 м²,Токсан би,1,4/5,1-комнатная квартира · 32 м² · 4/5 этаж,Other
3-комнатная квартира,28300000 ₸,89 м²,"Абайский р-н, 189 квартал 9",3,6/9,3-комнатная квартира · 89 м² · 6/9 этаж,Other
3-комнатная квартира,43000000 ₸,74 м²,"Казыбек би р-н, мкр Юго-Восток, Ашимова 13",3,5/10,3-комнатная квартира · 74 м² · 5/10 этаж,Other
2-комнатная квартира,44500000 ₸,60 м²,"Есильский р-н, Абикен Бектуров",2,11/12,2-комнатная квартира · 60 м² · 11/12 этаж,Other
4-комнатная квартира,74881800 ₸,152.82 м²,Сабатаева 77A — Сабатаева,4,3/9,4-комнатная квартира · 152.82 м² · 3/9 этаж,Other
2-комнатная квартира,35500000 ₸,38 м²,"Алмалинский р-н, Казыбек би 139",2,11/13,2-комнатная квартира · 38 м² · 11/13 этаж,Other
